sku,name,store_view_code,description,series_description,short_description
MEV1S1212SC,MEV1S1212SC,,"12V 84mA, Isolated 1W single Output 3kVDC, DC-DC converter, 10.8-13.2V Input",The MEV series is the new high performance version of our 1W NMV series. The MEV series is more efficient and offers improved regulation performance from 1.8&#37; for applications where a wide output voltage variation can not be tolerated. They are ideally suited for providing local supplies on control system boards with the added benefit of 3kVDC galvanic isolation to reduce switching noise. The MEV series is currently available in an industry SIP 7 or DIP 14 package.,"12V 84mA, Isolated 1W single Output 3kVDC, DC-DC converter, 10.8-13.2V Input"
MEV1S1215SC,MEV1S1215SC,,"15V 67mA, Isolated 1W single Output 3kVDC, DC-DC converter, 10.8-13.2V Input",The MEV series is the new high performance version of our 1W NMV series. The MEV series is more efficient and offers improved regulation performance from 1.8&#37; for applications where a wide output voltage variation can not be tolerated. They are ideally suited for providing local supplies on control system boards with the added benefit of 3kVDC galvanic isolation to reduce switching noise. The MEV series is currently available in an industry SIP 7 or DIP 14 package.,"15V 67mA, Isolated 1W single Output 3kVDC, DC-DC converter, 10.8-13.2V Input"
MER1S2405SC,MER1S2405SC,,"5V 200mA, Isolated 1W Single Output 1kVDC, DC-DC Converter, 21.6V-26.4V Input","The MER1 series is the new high performance version of our 1W NMR series. The MER1 series
is more efficient and offers improved regulation performance for applications where a wide output voltage variation can not be tolerated. They are ideally suited for providing local supplies on control system boards with the added benefit of 1kVDC galvanic isolation to reduce switching noise.","5V 200mA, Isolated 1W Single Output 1kVDC, DC-DC Converter, 21.6V-26.4V Input"
MER1S2409SC,MER1S2409SC,,"9V 111mA, Isolated 1W Single Output 1kVDC, DC-DC Converter, 21.6V-26.4V Input","The MER1 series is the new high performance version of our 1W NMR series. The MER1 series
is more efficient and offers improved regulation performance for applications where a wide output voltage variation can not be tolerated. They are ideally suited for providing local supplies on control system boards with the added benefit of 1kVDC galvanic isolation to reduce switching noise.","9V 111mA, Isolated 1W Single Output 1kVDC, DC-DC Converter, 21.6V-26.4V Input"
MER1S2412SC,MER1S2412SC,,"12V 84mA, Isolated 1W Single Output 1kVDC, DC-DC Converter, 21.6V-26.4V Input","The MER1 series is the new high performance version of our 1W NMR series. The MER1 series
is more efficient and offers improved regulation performance for applications where a wide output voltage variation can not be tolerated. They are ideally suited for providing local supplies on control system boards with the added benefit of 1kVDC galvanic isolation to reduce switching noise.","12V 84mA, Isolated 1W Single Output 1kVDC, DC-DC Converter, 21.6V-26.4V Input"
MER1S2415SC,MER1S2415SC,,"15V 67mA, Isolated 1W Single Output 1kVDC, DC-DC Converter, 21.6V-26.4V Input","The MER1 series is the new high performance version of our 1W NMR series. The MER1 series
is more efficient and offers improved regulation performance for applications where a wide output voltage variation can not be tolerated. They are ideally suited for providing local supplies on control system boards with the added benefit of 1kVDC galvanic isolation to reduce switching noise.","15V 67mA, Isolated 1W Single Output 1kVDC, DC-DC Converter, 21.6V-26.4V Input"
LME0305SC,LME0305SC,,"5V 50mA, Isolated 250mW Single Output 1kVDC, DC-DC Converter, 2.97-3.63 Input","The LME0305SC is optimized for low-power applications and is ideally suited to generating anegative supply where only a positive rail exists.","5V 50mA, Isolated 250mW Single Output 1kVDC, DC-DC Converter, 2.97-3.63 Input"
MGJ6T24150505MC,MGJ6T24150505MC,,"15/5/5V 240mA/240mA, Dual Output Isolated SM 5.2kVDC, DC-DC Converter, 18-36 Vin","Offering configurable dual output voltages of +15V/-10V, +20V/-5V and +15V/-5V, the MGJ3 series of DC-DC converters are ideal for powering 'high side'<sup>TM</sup> and 'low side'<sup>TM</sup> gate drive circuits for IGBTs, Silicon Carbide and Mosfets in bridge circuits. A choice of asymmetric output voltages allows optimum drive levels for best system efficiency and EMI. The MGJ3 series is characterised for high isolation and dv/dt requirements commonly seen in bridge circuits used in motor drives and inverters. A disable/frequency synchronisation pin, simplifies EMC filter design. The MGJ3 protection features include short circuit protection, over temperature protection and overload protection.","15/5/5V 240mA/240mA, Dual Output Isolated SM 5.2kVDC, DC-DC Converter, 18-36 Vin"
MEA1D0505SC,MEA1D0505SC,,"&plusmn;5V &plusmn;100mA, Isolated 1W Dual Output 1kVDC, DC-DC converter, 4.5-5.5V Input",The MEA series is the new high performance version of our 1W NMA series. The MEA series is more efficient and offers improved regulation performance &le; 5&#37; for applications where a wide output voltage variation can not be tolerated. They are ideally suited for providing dual rail supplies with the added benefit of galvanic isolation to reduce switching noise. All of the rated power may be drawn from a single output providing the total load does not exceed 1 watt.,"&plusmn;5V &plusmn;100mA, Isolated 1W Dual Output 1kVDC, DC-DC converter, 4.5-5.5V Input"
MEA1D0509SC,MEA1D0509SC,,"&plusmn;9V &plusmn;56mA, Isolated 1W Dual Output 1kVDC, DC-DC converter, 4.5-5.5V Input",The MEA series is the new high performance version of our 1W NMA series. The MEA series is more efficient and offers improved regulation performance &le; 5&#37; for applications where a wide output voltage variation can not be tolerated. They are ideally suited for providing dual rail supplies with the added benefit of galvanic isolation to reduce switching noise. All of the rated power may be drawn from a single output providing the total load does not exceed 1 watt.,"&plusmn;9V &plusmn;56mA, Isolated 1W Dual Output 1kVDC, DC-DC converter, 4.5-5.5V Input"
MEA1D0512SC,MEA1D0512SC,,"&plusmn;12V &plusmn;42mA, Isolated 1W Dual Output 1kVDC, DC-DC converter, 4.5-5.5V Input",The MEA series is the new high performance version of our 1W NMA series. The MEA series is more efficient and offers improved regulation performance &le; 5&#37; for applications where a wide output voltage variation can not be tolerated. They are ideally suited for providing dual rail supplies with the added benefit of galvanic isolation to reduce switching noise. All of the rated power may be drawn from a single output providing the total load does not exceed 1 watt.,"&plusmn;12V &plusmn;42mA, Isolated 1W Dual Output 1kVDC, DC-DC converter, 4.5-5.5V Input"
MEA1D0515SC,MEA1D0515SC,,"&plusmn;15V &plusmn;33mA, Isolated 1W Dual Output 1kVDC, DC-DC converter, 4.5-5.5V Input",The MEA series is the new high performance version of our 1W NMA series. The MEA series is more efficient and offers improved regulation performance &le; 5&#37; for applications where a wide output voltage variation can not be tolerated. They are ideally suited for providing dual rail supplies with the added benefit of galvanic isolation to reduce switching noise. All of the rated power may be drawn from a single output providing the total load does not exceed 1 watt.,"&plusmn;15V &plusmn;33mA, Isolated 1W Dual Output 1kVDC, DC-DC converter, 4.5-5.5V Input"
MEA1D1205SC,MEA1D1205SC,,"&plusmn;5V &plusmn;100mA, Isolated 1W Dual Output 1kVDC, DC-DC converter, 10.8-13.2V Input",The MEA series is the new high performance version of our 1W NMA series. The MEA series is more efficient and offers improved regulation performance &le; 5&#37; for applications where a wide output voltage variation can not be tolerated. They are ideally suited for providing dual rail supplies with the added benefit of galvanic isolation to reduce switching noise. All of the rated power may be drawn from a single output providing the total load does not exceed 1 watt.,"&plusmn;5V &plusmn;100mA, Isolated 1W Dual Output 1kVDC, DC-DC converter, 10.8-13.2V Input"
MEA1D1209SC,MEA1D1209SC,,"&plusmn;9V &plusmn;56mA, Isolated 1W Dual Output 1kVDC, DC-DC converter, 10.8-13.2V Input",The MEA series is the new high performance version of our 1W NMA series. The MEA series is more efficient and offers improved regulation performance &le; 5&#37; for applications where a wide output voltage variation can not be tolerated. They are ideally suited for providing dual rail supplies with the added benefit of galvanic isolation to reduce switching noise. All of the rated power may be drawn from a single output providing the total load does not exceed 1 watt.,"&plusmn;9V &plusmn;56mA, Isolated 1W Dual Output 1kVDC, DC-DC converter, 10.8-13.2V Input"
MEA1D1212SC,MEA1D1212SC,,"&plusmn;12V &plusmn;42mA, Isolated 1W Dual Output 1kVDC, DC-DC converter, 10.8-13.2V Input",The MEA series is the new high performance version of our 1W NMA series. The MEA series is more efficient and offers improved regulation performance &le; 5&#37; for applications where a wide output voltage variation can not be tolerated. They are ideally suited for providing dual rail supplies with the added benefit of galvanic isolation to reduce switching noise. All of the rated power may be drawn from a single output providing the total load does not exceed 1 watt.,"&plusmn;12V &plusmn;42mA, Isolated 1W Dual Output 1kVDC, DC-DC converter, 10.8-13.2V Input"
MEA1D1215SC,MEA1D1215SC,,"&plusmn;15V &plusmn;33mA, Isolated 1W Dual Output 1kVDC, DC-DC converter, 10.8-13.2V Input",The MEA series is the new high performance version of our 1W NMA series. The MEA series is more efficient and offers improved regulation performance &le; 5&#37; for applications where a wide output voltage variation can not be tolerated. They are ideally suited for providing dual rail supplies with the added benefit of galvanic isolation to reduce switching noise. All of the rated power may be drawn from a single output providing the total load does not exceed 1 watt.,"&plusmn;15V &plusmn;33mA, Isolated 1W Dual Output 1kVDC, DC-DC converter, 10.8-13.2V Input"
MEA1D1505SC,MEA1D1505SC,,"&plusmn;5V &plusmn;100mA, Isolated 1W Dual Output 1kVDC, DC-DC converter, 13.5-16.5V Input",The MEA series is the new high performance version of our 1W NMA series. The MEA series is more efficient and offers improved regulation performance &le; 5&#37; for applications where a wide output voltage variation can not be tolerated. They are ideally suited for providing dual rail supplies with the added benefit of galvanic isolation to reduce switching noise. All of the rated power may be drawn from a single output providing the total load does not exceed 1 watt.,"&plusmn;5V &plusmn;100mA, Isolated 1W Dual Output 1kVDC, DC-DC converter, 13.5-16.5V Input"
MEA1D1509SC,MEA1D1509SC,,"&plusmn;9V &plusmn;56mA, Isolated 1W Dual Output 1kVDC, DC-DC converter, 13.5-16.5V Input",The MEA series is the new high performance version of our 1W NMA series. The MEA series is more efficient and offers improved regulation performance &le; 5&#37; for applications where a wide output voltage variation can not be tolerated. They are ideally suited for providing dual rail supplies with the added benefit of galvanic isolation to reduce switching noise. All of the rated power may be drawn from a single output providing the total load does not exceed 1 watt.,"&plusmn;9V &plusmn;56mA, Isolated 1W Dual Output 1kVDC, DC-DC converter, 13.5-16.5V Input"
MEA1D1512SC,MEA1D1512SC,,"&plusmn;12V &plusmn;42mA, Isolated 1W Dual Output 1kVDC, DC-DC converter, 13.5-16.5V Input",The MEA series is the new high performance version of our 1W NMA series. The MEA series is more efficient and offers improved regulation performance &le; 5&#37; for applications where a wide output voltage variation can not be tolerated. They are ideally suited for providing dual rail supplies with the added benefit of galvanic isolation to reduce switching noise. All of the rated power may be drawn from a single output providing the total load does not exceed 1 watt.,"&plusmn;12V &plusmn;42mA, Isolated 1W Dual Output 1kVDC, DC-DC converter, 13.5-16.5V Input"
MEA1D1515SC,MEA1D1515SC,,"&plusmn;15V &plusmn;33mA, Isolated 1W Dual Output 1kVDC, DC-DC converter, 13.5-16.5V Input",The MEA series is the new high performance version of our 1W NMA series. The MEA series is more efficient and offers improved regulation performance &le; 5&#37; for applications where a wide output voltage variation can not be tolerated. They are ideally suited for providing dual rail supplies with the added benefit of galvanic isolation to reduce switching noise. All of the rated power may be drawn from a single output providing the total load does not exceed 1 watt.,"&plusmn;15V &plusmn;33mA, Isolated 1W Dual Output 1kVDC, DC-DC converter, 13.5-16.5V Input"
MEA1D2405SC,MEA1D2405SC,,"&plusmn;5V &plusmn;100mA, Isolated 1W Dual Output 1kVDC, DC-DC converter, 21.6-26.4V Input",The MEA series is the new high performance version of our 1W NMA series. The MEA series is more efficient and offers improved regulation performance &le; 5&#37; for applications where a wide output voltage variation can not be tolerated. They are ideally suited for providing dual rail supplies with the added benefit of galvanic isolation to reduce switching noise. All of the rated power may be drawn from a single output providing the total load does not exceed 1 watt.,"&plusmn;5V &plusmn;100mA, Isolated 1W Dual Output 1kVDC, DC-DC converter, 21.6-26.4V Input"
MEA1D2409SC,MEA1D2409SC,,"&plusmn;9V &plusmn;56mA, Isolated 1W Dual Output 1kVDC, DC-DC converter, 21.6-26.4V Input",The MEA series is the new high performance version of our 1W NMA series. The MEA series is more efficient and offers improved regulation performance &le; 5&#37; for applications where a wide output voltage variation can not be tolerated. They are ideally suited for providing dual rail supplies with the added benefit of galvanic isolation to reduce switching noise. All of the rated power may be drawn from a single output providing the total load does not exceed 1 watt.,"&plusmn;9V &plusmn;56mA, Isolated 1W Dual Output 1kVDC, DC-DC converter, 21.6-26.4V Input"
MEA1D2412SC,MEA1D2412SC,,"&plusmn;12V &plusmn;42mA, Isolated 1W Dual Output 1kVDC, DC-DC converter, 21.6-26.4V Input",The MEA series is the new high performance version of our 1W NMA series. The MEA series is more efficient and offers improved regulation performance &le; 5&#37; for applications where a wide output voltage variation can not be tolerated. They are ideally suited for providing dual rail supplies with the added benefit of galvanic isolation to reduce switching noise. All of the rated power may be drawn from a single output providing the total load does not exceed 1 watt.,"&plusmn;12V &plusmn;42mA, Isolated 1W Dual Output 1kVDC, DC-DC converter, 21.6-26.4V Input"
MEA1D2415SC,MEA1D2415SC,,"&plusmn;15V &plusmn;33mA, Isolated 1W Dual Output 1kVDC, DC-DC converter, 21.6-26.4V Input",The MEA series is the new high performance version of our 1W NMA series. The MEA series is more efficient and offers improved regulation performance &le; 5&#37; for applications where a wide output voltage variation can not be tolerated. They are ideally suited for providing dual rail supplies with the added benefit of galvanic isolation to reduce switching noise. All of the rated power may be drawn from a single output providing the total load does not exceed 1 watt.,"&plusmn;15V &plusmn;33mA, Isolated 1W Dual Output 1kVDC, DC-DC converter, 21.6-26.4V Input"
MEA1D4809SC,MEA1D4809SC,,"&plusmn;9V &plusmn;56mA, Isolated 1W Dual Output 1kVDC, DC-DC converter, 43.2-52.8V Input",The MEA series is the new high performance version of our 1W NMA series. The MEA series is more efficient and offers improved regulation performance &le; 5&#37; for applications where a wide output voltage variation can not be tolerated. They are ideally suited for providing dual rail supplies with the added benefit of galvanic isolation to reduce switching noise. All of the rated power may be drawn from a single output providing the total load does not exceed 1 watt.,"&plusmn;9V &plusmn;56mA, Isolated 1W Dual Output 1kVDC, DC-DC converter, 43.2-52.8V Input"
MEA1D4812SC,MEA1D4812SC,,"&plusmn;12V &plusmn;42mA, Isolated 1W Dual Output 1kVDC, DC-DC converter, 43.2-52.8V Input",The MEA series is the new high performance version of our 1W NMA series. The MEA series is more efficient and offers improved regulation performance &le; 5&#37; for applications where a wide output voltage variation can not be tolerated. They are ideally suited for providing dual rail supplies with the added benefit of galvanic isolation to reduce switching noise. All of the rated power may be drawn from a single output providing the total load does not exceed 1 watt.,"&plusmn;12V &plusmn;42mA, Isolated 1W Dual Output 1kVDC, DC-DC converter, 43.2-52.8V Input"
MEA1D4815SC,MEA1D4815SC,,"&plusmn;15V &plusmn;33mA, Isolated 1W Dual Output 1kVDC, DC-DC converter, 43.2-52.8V Input",The MEA series is the new high performance version of our 1W NMA series. The MEA series is more efficient and offers improved regulation performance &le; 5&#37; for applications where a wide output voltage variation can not be tolerated. They are ideally suited for providing dual rail supplies with the added benefit of galvanic isolation to reduce switching noise. All of the rated power may be drawn from a single output providing the total load does not exceed 1 watt.,"&plusmn;15V &plusmn;33mA, Isolated 1W Dual Output 1kVDC, DC-DC converter, 43.2-52.8V Input"
MEV1S0505SC,MEV1S0505SC,,"5V 200mA, Isolated 1W single Output 3kVDC, DC-DC converter, 4.5-5.5V Input",The MEV series is the new high performance version of our 1W NMV series. The MEV series is more efficient and offers improved regulation performance from 1.8&#37; for applications where a wide output voltage variation can not be tolerated. They are ideally suited for providing local supplies on control system boards with the added benefit of 3kVDC galvanic isolation to reduce switching noise. The MEV series is currently available in an industry SIP 7 or DIP 14 package.,"5V 200mA, Isolated 1W single Output 3kVDC, DC-DC converter, 4.5-5.5V Input"
MEV1S0509SC,MEV1S0509SC,,"9V 111mA, Isolated 1W single Output 3kVDC, DC-DC converter, 4.5-5.5V Input",The MEV series is the new high performance version of our 1W NMV series. The MEV series is more efficient and offers improved regulation performance from 1.8&#37; for applications where a wide output voltage variation can not be tolerated. They are ideally suited for providing local supplies on control system boards with the added benefit of 3kVDC galvanic isolation to reduce switching noise. The MEV series is currently available in an industry SIP 7 or DIP 14 package.,"9V 111mA, Isolated 1W single Output 3kVDC, DC-DC converter, 4.5-5.5V Input"
MEV1S0512SC,MEV1S0512SC,,"12V 84mA, Isolated 1W single Output 3kVDC, DC-DC converter, 4.5-5.5V Input",The MEV series is the new high performance version of our 1W NMV series. The MEV series is more efficient and offers improved regulation performance from 1.8&#37; for applications where a wide output voltage variation can not be tolerated. They are ideally suited for providing local supplies on control system boards with the added benefit of 3kVDC galvanic isolation to reduce switching noise. The MEV series is currently available in an industry SIP 7 or DIP 14 package.,"12V 84mA, Isolated 1W single Output 3kVDC, DC-DC converter, 4.5-5.5V Input"
MEV1S0515SC,MEV1S0515SC,,"15V 67mA, Isolated 1W single Output 3kVDC, DC-DC converter, 4.5-5.5V Input",The MEV series is the new high performance version of our 1W NMV series. The MEV series is more efficient and offers improved regulation performance from 1.8&#37; for applications where a wide output voltage variation can not be tolerated. They are ideally suited for providing local supplies on control system boards with the added benefit of 3kVDC galvanic isolation to reduce switching noise. The MEV series is currently available in an industry SIP 7 or DIP 14 package.,"15V 67mA, Isolated 1W single Output 3kVDC, DC-DC converter, 4.5-5.5V Input"
MEV1S1205SC,MEV1S1205SC,,"5V 200mA, Isolated 1W single Output 3kVDC, DC-DC converter, 10.8-13.2V Input",The MEV series is the new high performance version of our 1W NMV series. The MEV series is more efficient and offers improved regulation performance from 1.8&#37; for applications where a wide output voltage variation can not be tolerated. They are ideally suited for providing local supplies on control system boards with the added benefit of 3kVDC galvanic isolation to reduce switching noise. The MEV series is currently available in an industry SIP 7 or DIP 14 package.,"5V 200mA, Isolated 1W single Output 3kVDC, DC-DC converter, 10.8-13.2V Input"
NCS6D1205C,NCS6D1205C,,"&plusmn;5VA &plusmn;0.6A, Isolated 6W Dual Output 1.5kVDC, DC-DC Converter, 9-36V input","The NCS6 series of DC-DC Converters offers single & dual output voltages from input voltage ranges of 9-36V and 18-75V. The NCS6 is housed in an industry standard package with a standard pinout. The NCS6 is packaged in a metal case for improved EMI shielding and is also encapsulated for superior thermal performance. Applications include telecommunications, battery powered systems, process control and distributed power systems.","&plusmn;5VA &plusmn;0.6A, Isolated 6W Dual Output 1.5kVDC, DC-DC Converter, 9-36V input"
NCS6D1212C,NCS6D1212C,,"&plusmn;12V &plusmn;0.25A, Isolated 6W Dual Output 1.5kVDC, DC-DC Converter, 9-36V input","The NCS6 series of DC-DC Converters offers single & dual output voltages from input voltage ranges of 9-36V and 18-75V. The NCS6 is housed in an industry standard package with a standard pinout. The NCS6 is packaged in a metal case for improved EMI shielding and is also encapsulated for superior thermal performance. Applications include telecommunications, battery powered systems, process control and distributed power systems.","&plusmn;12V &plusmn;0.25A, Isolated 6W Dual Output 1.5kVDC, DC-DC Converter, 9-36V input"
NCS6D1215C,NCS6D1215C,,"&plusmn;15V &plusmn;0.2A, Isolated 6W Dual Output 1.5kVDC, DC-DC Converter, 9-36V input","The NCS6 series of DC-DC Converters offers single & dual output voltages from input voltage ranges of 9-36V and 18-75V. The NCS6 is housed in an industry standard package with a standard pinout. The NCS6 is packaged in a metal case for improved EMI shielding and is also encapsulated for superior thermal performance. Applications include telecommunications, battery powered systems, process control and distributed power systems.","&plusmn;15V &plusmn;0.2A, Isolated 6W Dual Output 1.5kVDC, DC-DC Converter, 9-36V input"
NCS6D4805C,NCS6D4805C,,"&plusmn;5V &plusmn;0.6A, Isolated 6W Dual Output 1.5kVDC, DC-DC Converter, 18-75V input","The NCS6 series of DC-DC Converters offers single & dual output voltages from input voltage ranges of 9-36V and 18-75V. The NCS6 is housed in an industry standard package with a standard pinout. The NCS6 is packaged in a metal case for improved EMI shielding and is also encapsulated for superior thermal performance. Applications include telecommunications, battery powered systems, process control and distributed power systems.","&plusmn;5V &plusmn;0.6A, Isolated 6W Dual Output 1.5kVDC, DC-DC Converter, 18-75V input"
NCS6D4812C,NCS6D4812C,,"&plusmn;12V &plusmn;0.25A, Isolated 6W Dual Output 1.5kVDC, DC-DC Converter, 18-75V input","The NCS6 series of DC-DC Converters offers single & dual output voltages from input voltage ranges of 9-36V and 18-75V. The NCS6 is housed in an industry standard package with a standard pinout. The NCS6 is packaged in a metal case for improved EMI shielding and is also encapsulated for superior thermal performance. Applications include telecommunications, battery powered systems, process control and distributed power systems.","&plusmn;12V &plusmn;0.25A, Isolated 6W Dual Output 1.5kVDC, DC-DC Converter, 18-75V input"
NCS6D4815C,NCS6D4815C,,"&plusmn;15V &plusmn;0.2A, Isolated 6W Dual Output 1.5kVDC, DC-DC Converter, 18-75V input","The NCS6 series of DC-DC Converters offers single & dual output voltages from input voltage ranges of 9-36V and 18-75V. The NCS6 is housed in an industry standard package with a standard pinout. The NCS6 is packaged in a metal case for improved EMI shielding and is also encapsulated for superior thermal performance. Applications include telecommunications, battery powered systems, process control and distributed power systems.","&plusmn;15V &plusmn;0.2A, Isolated 6W Dual Output 1.5kVDC, DC-DC Converter, 18-75V input"
MEA1D0505DC,MEA1D0505DC,,"&plusmn;5V &plusmn;100mA, Isolated 1W Dual Output 1kVDC, DC-DC converter, 4.5-5.5V Input",The MEA series is the new high performance version of our 1W NMA series. The MEA series is more efficient and offers improved regulation performance &le; 5&#37; for applications where a wide output voltage variation can not be tolerated. They are ideally suited for providing dual rail supplies with the added benefit of galvanic isolation to reduce switching noise. All of the rated power may be drawn from a single output providing the total load does not exceed 1 watt.,"&plusmn;5V &plusmn;100mA, Isolated 1W Dual Output 1kVDC, DC-DC converter, 4.5-5.5V Input"
MEA1D0509DC,MEA1D0509DC,,"&plusmn;9V &plusmn;56mA, Isolated 1W Dual Output 1kVDC, DC-DC converter, 4.5-5.5V Input",The MEA series is the new high performance version of our 1W NMA series. The MEA series is more efficient and offers improved regulation performance &le; 5&#37; for applications where a wide output voltage variation can not be tolerated. They are ideally suited for providing dual rail supplies with the added benefit of galvanic isolation to reduce switching noise. All of the rated power may be drawn from a single output providing the total load does not exceed 1 watt.,"&plusmn;9V &plusmn;56mA, Isolated 1W Dual Output 1kVDC, DC-DC converter, 4.5-5.5V Input"
MEA1D0512DC,MEA1D0512DC,,"&plusmn;12V &plusmn;42mA, Isolated 1W Dual Output 1kVDC, DC-DC converter, 4.5-5.5V Input",The MEA series is the new high performance version of our 1W NMA series. The MEA series is more efficient and offers improved regulation performance &le; 5&#37; for applications where a wide output voltage variation can not be tolerated. They are ideally suited for providing dual rail supplies with the added benefit of galvanic isolation to reduce switching noise. All of the rated power may be drawn from a single output providing the total load does not exceed 1 watt.,"&plusmn;12V &plusmn;42mA, Isolated 1W Dual Output 1kVDC, DC-DC converter, 4.5-5.5V Input"
MEA1D0515DC,MEA1D0515DC,,"&plusmn;15V &plusmn;33mA, Isolated 1W Dual Output 1kVDC, DC-DC converter, 4.5-5.5V Input",The MEA series is the new high performance version of our 1W NMA series. The MEA series is more efficient and offers improved regulation performance &le; 5&#37; for applications where a wide output voltage variation can not be tolerated. They are ideally suited for providing dual rail supplies with the added benefit of galvanic isolation to reduce switching noise. All of the rated power may be drawn from a single output providing the total load does not exceed 1 watt.,"&plusmn;15V &plusmn;33mA, Isolated 1W Dual Output 1kVDC, DC-DC converter, 4.5-5.5V Input"
MEA1D1205DC,MEA1D1205DC,,"&plusmn;5V &plusmn;100mA, Isolated 1W Dual Output 1kVDC, DC-DC converter, 10.8-13.2V Input",The MEA series is the new high performance version of our 1W NMA series. The MEA series is more efficient and offers improved regulation performance &le; 5&#37; for applications where a wide output voltage variation can not be tolerated. They are ideally suited for providing dual rail supplies with the added benefit of galvanic isolation to reduce switching noise. All of the rated power may be drawn from a single output providing the total load does not exceed 1 watt.,"&plusmn;5V &plusmn;100mA, Isolated 1W Dual Output 1kVDC, DC-DC converter, 10.8-13.2V Input"
MEA1D1209DC,MEA1D1209DC,,"&plusmn;9V &plusmn;56mA, Isolated 1W Dual Output 1kVDC, DC-DC converter, 10.8-13.2V Input",The MEA series is the new high performance version of our 1W NMA series. The MEA series is more efficient and offers improved regulation performance &le; 5&#37; for applications where a wide output voltage variation can not be tolerated. They are ideally suited for providing dual rail supplies with the added benefit of galvanic isolation to reduce switching noise. All of the rated power may be drawn from a single output providing the total load does not exceed 1 watt.,"&plusmn;9V &plusmn;56mA, Isolated 1W Dual Output 1kVDC, DC-DC converter, 10.8-13.2V Input"
MEA1D1212DC,MEA1D1212DC,,"&plusmn;12V &plusmn;42mA, Isolated 1W Dual Output 1kVDC, DC-DC converter, 10.8-13.2V Input",The MEA series is the new high performance version of our 1W NMA series. The MEA series is more efficient and offers improved regulation performance &le; 5&#37; for applications where a wide output voltage variation can not be tolerated. They are ideally suited for providing dual rail supplies with the added benefit of galvanic isolation to reduce switching noise. All of the rated power may be drawn from a single output providing the total load does not exceed 1 watt.,"&plusmn;12V &plusmn;42mA, Isolated 1W Dual Output 1kVDC, DC-DC converter, 10.8-13.2V Input"
MEA1D1215DC,MEA1D1215DC,,"&plusmn;15V &plusmn;33mA, Isolated 1W Dual Output 1kVDC, DC-DC converter, 10.8-13.2V Input",The MEA series is the new high performance version of our 1W NMA series. The MEA series is more efficient and offers improved regulation performance &le; 5&#37; for applications where a wide output voltage variation can not be tolerated. They are ideally suited for providing dual rail supplies with the added benefit of galvanic isolation to reduce switching noise. All of the rated power may be drawn from a single output providing the total load does not exceed 1 watt.,"&plusmn;15V &plusmn;33mA, Isolated 1W Dual Output 1kVDC, DC-DC converter, 10.8-13.2V Input"
MEA1D1505DC,MEA1D1505DC,,"&plusmn;5V &plusmn;100mA, Isolated 1W Dual Output 1kVDC, DC-DC converter, 13.5-16.5V Input",The MEA series is the new high performance version of our 1W NMA series. The MEA series is more efficient and offers improved regulation performance &le; 5&#37; for applications where a wide output voltage variation can not be tolerated. They are ideally suited for providing dual rail supplies with the added benefit of galvanic isolation to reduce switching noise. All of the rated power may be drawn from a single output providing the total load does not exceed 1 watt.,"&plusmn;5V &plusmn;100mA, Isolated 1W Dual Output 1kVDC, DC-DC converter, 13.5-16.5V Input"
MEA1D1509DC,MEA1D1509DC,,"&plusmn;9V &plusmn;56mA, Isolated 1W Dual Output 1kVDC, DC-DC converter, 13.5-16.5V Input",The MEA series is the new high performance version of our 1W NMA series. The MEA series is more efficient and offers improved regulation performance &le; 5&#37; for applications where a wide output voltage variation can not be tolerated. They are ideally suited for providing dual rail supplies with the added benefit of galvanic isolation to reduce switching noise. All of the rated power may be drawn from a single output providing the total load does not exceed 1 watt.,"&plusmn;9V &plusmn;56mA, Isolated 1W Dual Output 1kVDC, DC-DC converter, 13.5-16.5V Input"
MEA1D1512DC,MEA1D1512DC,,"&plusmn;12V &plusmn;42mA, Isolated 1W Dual Output 1kVDC, DC-DC converter, 13.5-16.5V Input",The MEA series is the new high performance version of our 1W NMA series. The MEA series is more efficient and offers improved regulation performance &le; 5&#37; for applications where a wide output voltage variation can not be tolerated. They are ideally suited for providing dual rail supplies with the added benefit of galvanic isolation to reduce switching noise. All of the rated power may be drawn from a single output providing the total load does not exceed 1 watt.,"&plusmn;12V &plusmn;42mA, Isolated 1W Dual Output 1kVDC, DC-DC converter, 13.5-16.5V Input"
MEA1D1515DC,MEA1D1515DC,,"&plusmn;15V &plusmn;33mA, Isolated 1W Dual Output 1kVDC, DC-DC converter, 13.5-16.5V Input",The MEA series is the new high performance version of our 1W NMA series. The MEA series is more efficient and offers improved regulation performance &le; 5&#37; for applications where a wide output voltage variation can not be tolerated. They are ideally suited for providing dual rail supplies with the added benefit of galvanic isolation to reduce switching noise. All of the rated power may be drawn from a single output providing the total load does not exceed 1 watt.,"&plusmn;15V &plusmn;33mA, Isolated 1W Dual Output 1kVDC, DC-DC converter, 13.5-16.5V Input"
MEA1D2405DC,MEA1D2405DC,,"&plusmn;5V &plusmn;100mA, Isolated 1W Dual Output 1kVDC, DC-DC converter, 21.6-26.4V Input",The MEA series is the new high performance version of our 1W NMA series. The MEA series is more efficient and offers improved regulation performance &le; 5&#37; for applications where a wide output voltage variation can not be tolerated. They are ideally suited for providing dual rail supplies with the added benefit of galvanic isolation to reduce switching noise. All of the rated power may be drawn from a single output providing the total load does not exceed 1 watt.,"&plusmn;5V &plusmn;100mA, Isolated 1W Dual Output 1kVDC, DC-DC converter, 21.6-26.4V Input"
