sku,store_view_code,description,series_description,short_description
MEV1S1505SC,,"5V 200mA, Isolated 1W single Output 3kVDC, DC-DC converter, 13.5-16.5V Input",The MEV series is the new high performance version of our 1W NMV series. The MEV series is more efficient and offers improved regulation performance from 1.8&#37; for applications where a wide output voltage variation can not be tolerated. They are ideally suited for providing local supplies on control system boards with the added benefit of 3kVDC galvanic isolation to reduce switching noise. The MEV series is currently available in an industry SIP 7 or DIP 14 package.,"5V 200mA, Isolated 1W single Output 3kVDC, DC-DC converter, 13.5-16.5V Input"
MEV1S1509DC,,"9V 111mA, Isolated 1W single Output 3kVDC, DC-DC converter, 13.5-16.5V Input",The MEV series is the new high performance version of our 1W NMV series. The MEV series is more efficient and offers improved regulation performance from 1.8&#37; for applications where a wide output voltage variation can not be tolerated. They are ideally suited for providing local supplies on control system boards with the added benefit of 3kVDC galvanic isolation to reduce switching noise. The MEV series is currently available in an industry SIP 7 or DIP 14 package.,"9V 111mA, Isolated 1W single Output 3kVDC, DC-DC converter, 13.5-16.5V Input"
MEV1S1509SC,,"9V 111mA, Isolated 1W single Output 3kVDC, DC-DC converter, 13.5-16.5V Input",The MEV series is the new high performance version of our 1W NMV series. The MEV series is more efficient and offers improved regulation performance from 1.8&#37; for applications where a wide output voltage variation can not be tolerated. They are ideally suited for providing local supplies on control system boards with the added benefit of 3kVDC galvanic isolation to reduce switching noise. The MEV series is currently available in an industry SIP 7 or DIP 14 package.,"9V 111mA, Isolated 1W single Output 3kVDC, DC-DC converter, 13.5-16.5V Input"
MEV1S1512DC,,"12V 84mA, Isolated 1W single Output 3kVDC, DC-DC converter, 13.5-16.5V Input",The MEV series is the new high performance version of our 1W NMV series. The MEV series is more efficient and offers improved regulation performance from 1.8&#37; for applications where a wide output voltage variation can not be tolerated. They are ideally suited for providing local supplies on control system boards with the added benefit of 3kVDC galvanic isolation to reduce switching noise. The MEV series is currently available in an industry SIP 7 or DIP 14 package.,"12V 84mA, Isolated 1W single Output 3kVDC, DC-DC converter, 13.5-16.5V Input"
MEV1S1512SC,,"12V 84mA, Isolated 1W single Output 3kVDC, DC-DC converter, 13.5-16.5V Input",The MEV series is the new high performance version of our 1W NMV series. The MEV series is more efficient and offers improved regulation performance from 1.8&#37; for applications where a wide output voltage variation can not be tolerated. They are ideally suited for providing local supplies on control system boards with the added benefit of 3kVDC galvanic isolation to reduce switching noise. The MEV series is currently available in an industry SIP 7 or DIP 14 package.,"12V 84mA, Isolated 1W single Output 3kVDC, DC-DC converter, 13.5-16.5V Input"
MEV1S1515DC,,"15V 67mA, Isolated 1W single Output 3kVDC, DC-DC converter, 13.5-16.5V Input",The MEV series is the new high performance version of our 1W NMV series. The MEV series is more efficient and offers improved regulation performance from 1.8&#37; for applications where a wide output voltage variation can not be tolerated. They are ideally suited for providing local supplies on control system boards with the added benefit of 3kVDC galvanic isolation to reduce switching noise. The MEV series is currently available in an industry SIP 7 or DIP 14 package.,"15V 67mA, Isolated 1W single Output 3kVDC, DC-DC converter, 13.5-16.5V Input"
MEV1S1515SC,,"15V 67mA, Isolated 1W single Output 3kVDC, DC-DC converter, 13.5-16.5V Input",The MEV series is the new high performance version of our 1W NMV series. The MEV series is more efficient and offers improved regulation performance from 1.8&#37; for applications where a wide output voltage variation can not be tolerated. They are ideally suited for providing local supplies on control system boards with the added benefit of 3kVDC galvanic isolation to reduce switching noise. The MEV series is currently available in an industry SIP 7 or DIP 14 package.,"15V 67mA, Isolated 1W single Output 3kVDC, DC-DC converter, 13.5-16.5V Input"
MEV1S2405DC,,"5V 200mA, Isolated 1W single Output 3kVDC, DC-DC converter, 21.6-26.4V Input",The MEV series is the new high performance version of our 1W NMV series. The MEV series is more efficient and offers improved regulation performance from 1.8&#37; for applications where a wide output voltage variation can not be tolerated. They are ideally suited for providing local supplies on control system boards with the added benefit of 3kVDC galvanic isolation to reduce switching noise. The MEV series is currently available in an industry SIP 7 or DIP 14 package.,"5V 200mA, Isolated 1W single Output 3kVDC, DC-DC converter, 21.6-26.4V Input"
MEV1S2405SC,,"5V 200mA, Isolated 1W single Output 3kVDC, DC-DC converter, 21.6-26.4V Input",The MEV series is the new high performance version of our 1W NMV series. The MEV series is more efficient and offers improved regulation performance from 1.8&#37; for applications where a wide output voltage variation can not be tolerated. They are ideally suited for providing local supplies on control system boards with the added benefit of 3kVDC galvanic isolation to reduce switching noise. The MEV series is currently available in an industry SIP 7 or DIP 14 package.,"5V 200mA, Isolated 1W single Output 3kVDC, DC-DC converter, 21.6-26.4V Input"
MEV1S2409DC,,"9V 111mA, Isolated 1W single Output 3kVDC, DC-DC converter, 21.6-26.4V Input",The MEV series is the new high performance version of our 1W NMV series. The MEV series is more efficient and offers improved regulation performance from 1.8&#37; for applications where a wide output voltage variation can not be tolerated. They are ideally suited for providing local supplies on control system boards with the added benefit of 3kVDC galvanic isolation to reduce switching noise. The MEV series is currently available in an industry SIP 7 or DIP 14 package.,"9V 111mA, Isolated 1W single Output 3kVDC, DC-DC converter, 21.6-26.4V Input"
MEV1S2409SC,,"9V 111mA, Isolated 1W single Output 3kVDC, DC-DC converter, 21.6-26.4V Input",The MEV series is the new high performance version of our 1W NMV series. The MEV series is more efficient and offers improved regulation performance from 1.8&#37; for applications where a wide output voltage variation can not be tolerated. They are ideally suited for providing local supplies on control system boards with the added benefit of 3kVDC galvanic isolation to reduce switching noise. The MEV series is currently available in an industry SIP 7 or DIP 14 package.,"9V 111mA, Isolated 1W single Output 3kVDC, DC-DC converter, 21.6-26.4V Input"
MEV1S2412DC,,"12V 84mA, Isolated 1W single Output 3kVDC, DC-DC converter, 21.6-26.4V Input",The MEV series is the new high performance version of our 1W NMV series. The MEV series is more efficient and offers improved regulation performance from 1.8&#37; for applications where a wide output voltage variation can not be tolerated. They are ideally suited for providing local supplies on control system boards with the added benefit of 3kVDC galvanic isolation to reduce switching noise. The MEV series is currently available in an industry SIP 7 or DIP 14 package.,"12V 84mA, Isolated 1W single Output 3kVDC, DC-DC converter, 21.6-26.4V Input"
MEV1S2412SC,,"12V 84mA, Isolated 1W single Output 3kVDC, DC-DC converter, 21.6-26.4V Input",The MEV series is the new high performance version of our 1W NMV series. The MEV series is more efficient and offers improved regulation performance from 1.8&#37; for applications where a wide output voltage variation can not be tolerated. They are ideally suited for providing local supplies on control system boards with the added benefit of 3kVDC galvanic isolation to reduce switching noise. The MEV series is currently available in an industry SIP 7 or DIP 14 package.,"12V 84mA, Isolated 1W single Output 3kVDC, DC-DC converter, 21.6-26.4V Input"
MEV1S2415DC,,"15V 67mA, Isolated 1W single Output 3kVDC, DC-DC converter, 21.6-26.4V Input",The MEV series is the new high performance version of our 1W NMV series. The MEV series is more efficient and offers improved regulation performance from 1.8&#37; for applications where a wide output voltage variation can not be tolerated. They are ideally suited for providing local supplies on control system boards with the added benefit of 3kVDC galvanic isolation to reduce switching noise. The MEV series is currently available in an industry SIP 7 or DIP 14 package.,"15V 67mA, Isolated 1W single Output 3kVDC, DC-DC converter, 21.6-26.4V Input"
MEV1S2415SC,,"15V 67mA, Isolated 1W single Output 3kVDC, DC-DC converter, 21.6-26.4V Input",The MEV series is the new high performance version of our 1W NMV series. The MEV series is more efficient and offers improved regulation performance from 1.8&#37; for applications where a wide output voltage variation can not be tolerated. They are ideally suited for providing local supplies on control system boards with the added benefit of 3kVDC galvanic isolation to reduce switching noise. The MEV series is currently available in an industry SIP 7 or DIP 14 package.,"15V 67mA, Isolated 1W single Output 3kVDC, DC-DC converter, 21.6-26.4V Input"
MEV1S4805SC,,"5V 200mA, Isolated 1W single Output 3kVDC, DC-DC converter, 43.2-52.8V Input",The MEV series is the new high performance version of our 1W NMV series. The MEV series is more efficient and offers improved regulation performance from 1.8&#37; for applications where a wide output voltage variation can not be tolerated. They are ideally suited for providing local supplies on control system boards with the added benefit of 3kVDC galvanic isolation to reduce switching noise. The MEV series is currently available in an industry SIP 7 or DIP 14 package.,"5V 200mA, Isolated 1W single Output 3kVDC, DC-DC converter, 43.2-52.8V Input"
MEV1S4809SC,,"9V 111mA, Isolated 1W single Output 3kVDC, DC-DC converter, 43.2-52.8V Input",The MEV series is the new high performance version of our 1W NMV series. The MEV series is more efficient and offers improved regulation performance from 1.8&#37; for applications where a wide output voltage variation can not be tolerated. They are ideally suited for providing local supplies on control system boards with the added benefit of 3kVDC galvanic isolation to reduce switching noise. The MEV series is currently available in an industry SIP 7 or DIP 14 package.,"9V 111mA, Isolated 1W single Output 3kVDC, DC-DC converter, 43.2-52.8V Input"
MEV1S4812SC,,"12V 84mA, Isolated 1W single Output 3kVDC, DC-DC converter, 43.2-52.8V Input",The MEV series is the new high performance version of our 1W NMV series. The MEV series is more efficient and offers improved regulation performance from 1.8&#37; for applications where a wide output voltage variation can not be tolerated. They are ideally suited for providing local supplies on control system boards with the added benefit of 3kVDC galvanic isolation to reduce switching noise. The MEV series is currently available in an industry SIP 7 or DIP 14 package.,"12V 84mA, Isolated 1W single Output 3kVDC, DC-DC converter, 43.2-52.8V Input"
MEV1S4815SC,,"15V 67mA, Isolated 1W single Output 3kVDC, DC-DC converter, 43.2-52.8V Input",The MEV series is the new high performance version of our 1W NMV series. The MEV series is more efficient and offers improved regulation performance from 1.8&#37; for applications where a wide output voltage variation can not be tolerated. They are ideally suited for providing local supplies on control system boards with the added benefit of 3kVDC galvanic isolation to reduce switching noise. The MEV series is currently available in an industry SIP 7 or DIP 14 package.,"15V 67mA, Isolated 1W single Output 3kVDC, DC-DC converter, 43.2-52.8V Input"
MEV3S0505SC,,"5V 600mA, Isolated 3W Single Output 3kVDC, DC-DC Converter, 4.5V-5.5V Input","The MEV3 series is a new range of high performance 3W DC-DC converters, offering 3W of available output power in a previously rated 2W package capable of operation over the full industrial temperature range of -40&deg;C to 85&deg;C. Available in an industry standard SIP package, with a pin compatible power upgrade path from the 1W NMV/MEV and 2W NMK series'<sup>TM</sup>, they are ideally suited for providing local supplies on control system boards with the added benefit of 3kVDC galvanic isolation.","5V 600mA, Isolated 3W Single Output 3kVDC, DC-DC Converter, 4.5V-5.5V Input"
MEV3S0509SC,,"9V 333mA, Isolated 3W Single Output 3kVDC, DC-DC Converter, 4.5V-5.5V Input","The MEV3 series is a new range of high performance 3W DC-DC converters, offering 3W of available output power in a previously rated 2W package capable of operation over the full industrial temperature range of -40&deg;C to 85&deg;C. Available in an industry standard SIP package, with a pin compatible power upgrade path from the 1W NMV/MEV and 2W NMK series'<sup>TM</sup>, they are ideally suited for providing local supplies on control system boards with the added benefit of 3kVDC galvanic isolation.","9V 333mA, Isolated 3W Single Output 3kVDC, DC-DC Converter, 4.5V-5.5V Input"
MEV3S0512SC,,"12V 250mA, Isolated 3W Single Output 3kVDC, DC-DC Converter, 4.5V-5.5V Input","The MEV3 series is a new range of high performance 3W DC-DC converters, offering 3W of available output power in a previously rated 2W package capable of operation over the full industrial temperature range of -40&deg;C to 85&deg;C. Available in an industry standard SIP package, with a pin compatible power upgrade path from the 1W NMV/MEV and 2W NMK series'<sup>TM</sup>, they are ideally suited for providing local supplies on control system boards with the added benefit of 3kVDC galvanic isolation.","12V 250mA, Isolated 3W Single Output 3kVDC, DC-DC Converter, 4.5V-5.5V Input"
MEV3S0515SC,,"15V 200mA, Isolated 3W Single Output 3kVDC, DC-DC Converter, 4.5V-5.5V Input","The MEV3 series is a new range of high performance 3W DC-DC converters, offering 3W of available output power in a previously rated 2W package capable of operation over the full industrial temperature range of -40&deg;C to 85&deg;C. Available in an industry standard SIP package, with a pin compatible power upgrade path from the 1W NMV/MEV and 2W NMK series'<sup>TM</sup>, they are ideally suited for providing local supplies on control system boards with the added benefit of 3kVDC galvanic isolation.","15V 200mA, Isolated 3W Single Output 3kVDC, DC-DC Converter, 4.5V-5.5V Input"
MEV3S1205SC,,"5V 600mA, Isolated 3W Single Output 3kVDC, DC-DC Converter, 10.8V-13.2V Input","The MEV3 series is a new range of high performance 3W DC-DC converters, offering 3W of available output power in a previously rated 2W package capable of operation over the full industrial temperature range of -40&deg;C to 85&deg;C. Available in an industry standard SIP package, with a pin compatible power upgrade path from the 1W NMV/MEV and 2W NMK series'<sup>TM</sup>, they are ideally suited for providing local supplies on control system boards with the added benefit of 3kVDC galvanic isolation.","5V 600mA, Isolated 3W Single Output 3kVDC, DC-DC Converter, 10.8V-13.2V Input"
MEV3S1209SC,,"9V 333mA, Isolated 3W Single Output 3kVDC, DC-DC Converter, 10.8V-13.2V Input","The MEV3 series is a new range of high performance 3W DC-DC converters, offering 3W of available output power in a previously rated 2W package capable of operation over the full industrial temperature range of -40&deg;C to 85&deg;C. Available in an industry standard SIP package, with a pin compatible power upgrade path from the 1W NMV/MEV and 2W NMK series'<sup>TM</sup>, they are ideally suited for providing local supplies on control system boards with the added benefit of 3kVDC galvanic isolation.","9V 333mA, Isolated 3W Single Output 3kVDC, DC-DC Converter, 10.8V-13.2V Input"
MEV3S1212SC,,"12V 250mA, Isolated 3W Single Output 3kVDC, DC-DC Converter, 10.8V-13.2V Input","The MEV3 series is a new range of high performance 3W DC-DC converters, offering 3W of available output power in a previously rated 2W package capable of operation over the full industrial temperature range of -40&deg;C to 85&deg;C. Available in an industry standard SIP package, with a pin compatible power upgrade path from the 1W NMV/MEV and 2W NMK series'<sup>TM</sup>, they are ideally suited for providing local supplies on control system boards with the added benefit of 3kVDC galvanic isolation.","12V 250mA, Isolated 3W Single Output 3kVDC, DC-DC Converter, 10.8V-13.2V Input"
MEV3S1215SC,,"15V 200mA, Isolated 3W Single Output 3kVDC, DC-DC Converter, 10.8V-13.2V Input","The MEV3 series is a new range of high performance 3W DC-DC converters, offering 3W of available output power in a previously rated 2W package capable of operation over the full industrial temperature range of -40&deg;C to 85&deg;C. Available in an industry standard SIP package, with a pin compatible power upgrade path from the 1W NMV/MEV and 2W NMK series'<sup>TM</sup>, they are ideally suited for providing local supplies on control system boards with the added benefit of 3kVDC galvanic isolation.","15V 200mA, Isolated 3W Single Output 3kVDC, DC-DC Converter, 10.8V-13.2V Input"
MGJ1D051505MPC,,"15V/-5V, 50mA/50mA, Isolated 1W Dual Output 5.7kVDC, DC-DC Converter, 4.5-5.5V Input.","The MGJ1 series of DC-DC converters is ideal for powering 'high side'<sup>TM</sup> and 'low side'<sup>TM</sup> gate drive circuits for IGBTs and Mosfets in bridge circuits.
A choice of asymmetric output voltages allows optimum drive levels for best system efficiency and EMI. The MGJ1 series is characterised for high isolation and dv/dt requirements commonly seen in bridge circuits used in motor drives and inverters, while the MGJ1 industrial grade temperature rating and construction gives long service life and reliability.","15V/-5V, 50mA/50mA, Isolated 1W Dual Output 5.7kVDC, DC-DC Converter, 4.5-5.5V Input."
MGJ1D051510MPC,,"15V/-10V, 40mA/40mA, Isolated 1W Dual Output 5.7kVDC, DC-DC Converter, 4.5-5.5V Input.","The MGJ1 series of DC-DC converters is ideal for powering 'high side'<sup>TM</sup> and 'low side'<sup>TM</sup> gate drive circuits for IGBTs and Mosfets in bridge circuits.
A choice of asymmetric output voltages allows optimum drive levels for best system efficiency and EMI. The MGJ1 series is characterised for high isolation and dv/dt requirements commonly seen in bridge circuits used in motor drives and inverters, while the MGJ1 industrial grade temperature rating and construction gives long service life and reliability.","15V/-10V, 40mA/40mA, Isolated 1W Dual Output 5.7kVDC, DC-DC Converter, 4.5-5.5V Input."
MGJ1D051905MPC,,"19V/-5V, 42mA/42mA, Isolated 1W Dual Output 5.7kVDC, DC-DC Converter, 4.5-5.5V Input.","The MGJ1 series of DC-DC converters is ideal for powering 'high side'<sup>TM</sup> and 'low side'<sup>TM</sup> gate drive circuits for IGBTs and Mosfets in bridge circuits.
A choice of asymmetric output voltages allows optimum drive levels for best system efficiency and EMI. The MGJ1 series is characterised for high isolation and dv/dt requirements commonly seen in bridge circuits used in motor drives and inverters, while the MGJ1 industrial grade temperature rating and construction gives long service life and reliability.","19V/-5V, 42mA/42mA, Isolated 1W Dual Output 5.7kVDC, DC-DC Converter, 4.5-5.5V Input."
MGJ1D121505MPC,,"15V/-5V, 50mA/50mA, Isolated 1W Dual Output 5.7kVDC, DC-DC Converter, 10.8-13.2V Input.","The MGJ1 series of DC-DC converters is ideal for powering 'high side'<sup>TM</sup> and 'low side'<sup>TM</sup> gate drive circuits for IGBTs and Mosfets in bridge circuits.
A choice of asymmetric output voltages allows optimum drive levels for best system efficiency and EMI. The MGJ1 series is characterised for high isolation and dv/dt requirements commonly seen in bridge circuits used in motor drives and inverters, while the MGJ1 industrial grade temperature rating and construction gives long service life and reliability.","15V/-5V, 50mA/50mA, Isolated 1W Dual Output 5.7kVDC, DC-DC Converter, 10.8-13.2V Input."
MGJ1D121509MPC,,"15V/-9V, 42mA/42mA, Isolated 1W Dual Output 5.7kVDC, DC-DC Converter, 10.8-13.2V Input.","The MGJ1 series of DC-DC converters is ideal for powering 'high side'<sup>TM</sup> and 'low side'<sup>TM</sup> gate drive circuits for IGBTs and Mosfets in bridge circuits.
A choice of asymmetric output voltages allows optimum drive levels for best system efficiency and EMI. The MGJ1 series is characterised for high isolation and dv/dt requirements commonly seen in bridge circuits used in motor drives and inverters, while the MGJ1 industrial grade temperature rating and construction gives long service life and reliability.","15V/-9V, 42mA/42mA, Isolated 1W Dual Output 5.7kVDC, DC-DC Converter, 10.8-13.2V Input."
MGJ1D121905MPC,,"19V/-5V, 42mA/42mA, Isolated 1W Dual Output 5.7kVDC, DC-DC Converter, 10.8-13.2V Input.","The MGJ1 series of DC-DC converters is ideal for powering 'high side'<sup>TM</sup> and 'low side'<sup>TM</sup> gate drive circuits for IGBTs and Mosfets in bridge circuits.
A choice of asymmetric output voltages allows optimum drive levels for best system efficiency and EMI. The MGJ1 series is characterised for high isolation and dv/dt requirements commonly seen in bridge circuits used in motor drives and inverters, while the MGJ1 industrial grade temperature rating and construction gives long service life and reliability.","19V/-5V, 42mA/42mA, Isolated 1W Dual Output 5.7kVDC, DC-DC Converter, 10.8-13.2V Input."
MGJ1D151505MPC,,"15V/-5V, 50mA/50mA, Isolated 1W Dual Output 5.7kVDC, DC-DC Converter, 13.5-16.5V Input.","The MGJ1 series of DC-DC converters is ideal for powering 'high side'<sup>TM</sup> and 'low side'<sup>TM</sup> gate drive circuits for IGBTs and Mosfets in bridge circuits.
A choice of asymmetric output voltages allows optimum drive levels for best system efficiency and EMI. The MGJ1 series is characterised for high isolation and dv/dt requirements commonly seen in bridge circuits used in motor drives and inverters, while the MGJ1 industrial grade temperature rating and construction gives long service life and reliability.","15V/-5V, 50mA/50mA, Isolated 1W Dual Output 5.7kVDC, DC-DC Converter, 13.5-16.5V Input."
MGJ1D151509MPC,,"15V/-9V, 42mA/42mA, Isolated 1W Dual Output 5.7kVDC, DC-DC Converter, 13.5-16.5V Input.","The MGJ1 series of DC-DC converters is ideal for powering 'high side'<sup>TM</sup> and 'low side'<sup>TM</sup> gate drive circuits for IGBTs and Mosfets in bridge circuits.
A choice of asymmetric output voltages allows optimum drive levels for best system efficiency and EMI. The MGJ1 series is characterised for high isolation and dv/dt requirements commonly seen in bridge circuits used in motor drives and inverters, while the MGJ1 industrial grade temperature rating and construction gives long service life and reliability.","15V/-9V, 42mA/42mA, Isolated 1W Dual Output 5.7kVDC, DC-DC Converter, 13.5-16.5V Input."
MGJ1D151905MPC,,"19V/-5V, 42mA/42mA, Isolated 1W Dual Output 5.7kVDC, DC-DC Converter,13.5-16.5V Input.","The MGJ1 series of DC-DC converters is ideal for powering 'high side'<sup>TM</sup> and 'low side'<sup>TM</sup> gate drive circuits for IGBTs and Mosfets in bridge circuits.
A choice of asymmetric output voltages allows optimum drive levels for best system efficiency and EMI. The MGJ1 series is characterised for high isolation and dv/dt requirements commonly seen in bridge circuits used in motor drives and inverters, while the MGJ1 industrial grade temperature rating and construction gives long service life and reliability.","19V/-5V, 42mA/42mA, Isolated 1W Dual Output 5.7kVDC, DC-DC Converter,13.5-16.5V Input."
MGJ1D241505MPC,,"15V/-5V, 50mA/50mA Isolated 1W Dual Output 5.7kVDC, DC-DC Converter, 21.6-26.4V Input.","The MGJ1 series of DC-DC converters is ideal for powering 'high side'<sup>TM</sup> and 'low side'<sup>TM</sup> gate drive circuits for IGBTs and Mosfets in bridge circuits.
A choice of asymmetric output voltages allows optimum drive levels for best system efficiency and EMI. The MGJ1 series is characterised for high isolation and dv/dt requirements commonly seen in bridge circuits used in motor drives and inverters, while the MGJ1 industrial grade temperature rating and construction gives long service life and reliability.","15V/-5V, 50mA/50mA Isolated 1W Dual Output 5.7kVDC, DC-DC Converter, 21.6-26.4V Input."
MGJ1D241509MPC,,"15V/-9V, 42mA/42mA, Isolated 1W Dual Output 5.7kVDC, DC-DC Converter, 21.6-26.4V Input.","The MGJ1 series of DC-DC converters is ideal for powering 'high side'<sup>TM</sup> and 'low side'<sup>TM</sup> gate drive circuits for IGBTs and Mosfets in bridge circuits.
A choice of asymmetric output voltages allows optimum drive levels for best system efficiency and EMI. The MGJ1 series is characterised for high isolation and dv/dt requirements commonly seen in bridge circuits used in motor drives and inverters, while the MGJ1 industrial grade temperature rating and construction gives long service life and reliability.","15V/-9V, 42mA/42mA, Isolated 1W Dual Output 5.7kVDC, DC-DC Converter, 21.6-26.4V Input."
MGJ1D241905MPC,,"19V/-5V, 42mA/42mA, Isolated 1W Dual Output 5.7kVDC, DC-DC Converter, 21.6-26.4V Input.","The MGJ1 series of DC-DC converters is ideal for powering 'high side'<sup>TM</sup> and 'low side'<sup>TM</sup> gate drive circuits for IGBTs and Mosfets in bridge circuits.
A choice of asymmetric output voltages allows optimum drive levels for best system efficiency and EMI. The MGJ1 series is characterised for high isolation and dv/dt requirements commonly seen in bridge circuits used in motor drives and inverters, while the MGJ1 industrial grade temperature rating and construction gives long service life and reliability.","19V/-5V, 42mA/42mA, Isolated 1W Dual Output 5.7kVDC, DC-DC Converter, 21.6-26.4V Input."
MGJ2D051505SC,,"15V/-5V, 80mA/40mA, Isolated 2W Dual Output 5.2kVDC, DC-DC Converter, 4.5-5.5V Input","The MGJ2 series of DC-DC converters is ideal for powering 'high side'<sup>TM</sup> and 'low side'<sup>TM</sup> gate drive circuits for IGBTs and Mosfets in bridge circuits. 
A choice of asymmetric output voltages allows optimum drive levels for best system efficiency and EMI. The MGJ2 series is characterised for high
isolation and dv/dt requirements commonly seen in bridge circuits used in motor drives and inverters, while the MGJ2 industrial grade temperature
rating and construction gives long service life and reliability.","15V/-5V, 80mA/40mA, Isolated 2W Dual Output 5.2kVDC, DC-DC Converter, 4.5-5.5V Input"
MGJ2D051509SC,,"15V/-8.7V, 80mA/40mA, Isolated 2W Dual Output 5.2kVDC, DC-DC Converter, 4.5-5.5V Input.","The MGJ2 series of DC-DC converters is ideal for powering 'high side'<sup>TM</sup> and 'low side'<sup>TM</sup> gate drive circuits for IGBTs and Mosfets in bridge circuits. 
A choice of asymmetric output voltages allows optimum drive levels for best system efficiency and EMI. The MGJ2 series is characterised for high
isolation and dv/dt requirements commonly seen in bridge circuits used in motor drives and inverters, while the MGJ2 industrial grade temperature
rating and construction gives long service life and reliability.","15V/-8.7V, 80mA/40mA, Isolated 2W Dual Output 5.2kVDC, DC-DC Converter, 4.5-5.5V Input."
MGJ2D051515SC,,"15V/-15V, 67mA/67mA, Isolated 2W Dual Output 5.2kVDC, DC-DC Converter, 4.5-5.5V Input","The MGJ2 series of DC-DC converters is ideal for powering 'high side'<sup>TM</sup> and 'low side'<sup>TM</sup> gate drive circuits for IGBTs and Mosfets in bridge circuits. 
A choice of asymmetric output voltages allows optimum drive levels for best system efficiency and EMI. The MGJ2 series is characterised for high
isolation and dv/dt requirements commonly seen in bridge circuits used in motor drives and inverters, while the MGJ2 industrial grade temperature
rating and construction gives long service life and reliability.","15V/-15V, 67mA/67mA, Isolated 2W Dual Output 5.2kVDC, DC-DC Converter, 4.5-5.5V Input"
MGJ2D052005SC,,"20V/-5V, 80mA/40mA, Isolated 2W Dual Output 5.2kVDC, DC-DC Converter, 4.5-5.5V Input.","The MGJ2 series of DC-DC converters is ideal for powering 'high side'<sup>TM</sup> and 'low side'<sup>TM</sup> gate drive circuits for IGBTs and Mosfets in bridge circuits. 
A choice of asymmetric output voltages allows optimum drive levels for best system efficiency and EMI. The MGJ2 series is characterised for high
isolation and dv/dt requirements commonly seen in bridge circuits used in motor drives and inverters, while the MGJ2 industrial grade temperature
rating and construction gives long service life and reliability.","20V/-5V, 80mA/40mA, Isolated 2W Dual Output 5.2kVDC, DC-DC Converter, 4.5-5.5V Input."
MGJ2D121505SC,,"15V/-5V, 80mA/40mA, Isolated 2W Dual Output 5.2kVDC, DC-DC Converter, 10.8-13.2V Input.","The MGJ2 series of DC-DC converters is ideal for powering 'high side'<sup>TM</sup> and 'low side'<sup>TM</sup> gate drive circuits for IGBTs and Mosfets in bridge circuits. 
A choice of asymmetric output voltages allows optimum drive levels for best system efficiency and EMI. The MGJ2 series is characterised for high
isolation and dv/dt requirements commonly seen in bridge circuits used in motor drives and inverters, while the MGJ2 industrial grade temperature
rating and construction gives long service life and reliability.","15V/-5V, 80mA/40mA, Isolated 2W Dual Output 5.2kVDC, DC-DC Converter, 10.8-13.2V Input."
MGJ2D121509SC,,"15V/-8.7V, 80mA/40mA, Isolated 2W Dual Output 5.2kVDC, DC-DC Converter, 10.8-13.2V Input.","The MGJ2 series of DC-DC converters is ideal for powering 'high side'<sup>TM</sup> and 'low side'<sup>TM</sup> gate drive circuits for IGBTs and Mosfets in bridge circuits. 
A choice of asymmetric output voltages allows optimum drive levels for best system efficiency and EMI. The MGJ2 series is characterised for high
isolation and dv/dt requirements commonly seen in bridge circuits used in motor drives and inverters, while the MGJ2 industrial grade tempe","15V/-8.7V, 80mA/40mA, Isolated 2W Dual Output 5.2kVDC, DC-DC Converter, 10.8-13.2V Input."
MGJ2D121515SC,,"15V/-15V,67mA/67mA, Isolated 2W Dual Output 5.2kVDC, DC-DC Converter, 10.8-13.2V Input","The MGJ2 series of DC-DC converters is ideal for powering 'high side'<sup>TM</sup> and 'low side'<sup>TM</sup> gate drive circuits for IGBTs and Mosfets in bridge circuits. 
A choice of asymmetric output voltages allows optimum drive levels for best system efficiency and EMI. The MGJ2 series is characterised for high
isolation and dv/dt requirements commonly seen in bridge circuits used in motor drives and inverters, while the MGJ2 industrial grade temperature
rating and construction gives long service life and reliability.","15V/-15V,67mA/67mA, Isolated 2W Dual Output 5.2kVDC, DC-DC Converter, 10.8-13.2V Input"
MGJ2D122005SC,,"20V/-5V, 80mA/40mA, Isolated 2W Dual Output 5.2kVDC, DC-DC Converter, 10.8-13.2V Input","The MGJ2 series of DC-DC converters is ideal for powering 'high side'<sup>TM</sup> and 'low side'<sup>TM</sup> gate drive circuits for IGBTs and Mosfets in bridge circuits. 
A choice of asymmetric output voltages allows optimum drive levels for best system efficiency and EMI. The MGJ2 series is characterised for high
isolation and dv/dt requirements commonly seen in bridge circuits used in motor drives and inverters, while the MGJ2 industrial grade temperature
rating and construction gives long service life and reliability.","20V/-5V, 80mA/40mA, Isolated 2W Dual Output 5.2kVDC, DC-DC Converter, 10.8-13.2V Input"
MGJ2D151505SC,,"15V/-5V, 80mA/40mA, Isolated 2W Dual Output 5.2kVDC, DC-DC Converter, 13.5-16.5V Input.","The MGJ2 series of DC-DC converters is ideal for powering 'high side'<sup>TM</sup> and 'low side'<sup>TM</sup> gate drive circuits for IGBTs and Mosfets in bridge circuits. 
A choice of asymmetric output voltages allows optimum drive levels for best system efficiency and EMI. The MGJ2 series is characterised for high
isolation and dv/dt requirements commonly seen in bridge circuits used in motor drives and inverters, while the MGJ2 industrial grade temperature
rating and construction gives long service life and reliability.","15V/-5V, 80mA/40mA, Isolated 2W Dual Output 5.2kVDC, DC-DC Converter, 13.5-16.5V Input."
